Author short Names;authors;articles
"Syed, D; Zainab, A; Ghrayeb, A; Refaat, SS; Abu-Rub, H; Bouhali, O";"Syed, Dabeeruddin; Zainab, Ameema; Ghrayeb, Ali; Refaat, Shady S.; Abu-Rub, Haitham; Bouhali, Othmane";Smart Grid Big Data Analytics: Survey of Technologies, Techniques, and Applications
"Wang, B; Wang, YJ";"Wang, Bing; Wang, Yuanjie";Big data in safety management: An overview
"Zhang, JJ; Li, J";"Zhang, Jianjun; Li, Jing";Development and Application of Big Data in the Field of Satellite Navigation
"Atoum, IA; Keshta, IM";"Atoum, Ibrahim A.; Keshta, Ismail M.";Big data management: Security and privacy concerns
"Cai, LY; Yao, SC";"Cai, Liya; Yao, Shuchun";Application of big data technology in blockchain computing
"Nateghi, R; Aven, T";"Nateghi, Roshanak; Aven, Terje";Risk Analysis in the Age of Big Data: The Promises and Pitfalls
"Al-Yadumi, S; Xion, TE; Wei, SGW; Boursier, P";"Al-Yadumi, Sohaib; Xion, Tan Ee; Wei, Sharon Goh Wei; Boursier, Patrice";Review on Integrating Geospatial Big Datasets and Open Research Issues
Zhang, C;Zhang, Chao;Application of Big Data Technology in Financial Management Teaching
"Kumar, A; Kumar, TVV";"Kumar, Akshay; Kumar, T. V. Vijay";Multi-Objective Big Data View Materialization Using NSGA-II
Jiang, S;Jiang, Sai;Research on big data audit based on financial sharing service model using fuzzy AHP
"Alsulbi, K; Khemakhem, M; Basuhail, A; Eassa, F; Jambi, KM; Almarhabi, K";"Alsulbi, Khalil; Khemakhem, Maher; Basuhail, Abdullah; Eassa, Fathy; Jambi, Kamal Mansur; Almarhabi, Khalid";Big Data Security and Privacy: A Taxonomy with Some HPC and Blockchain Perspectives
"Xie, P; Zhang, HM; Xu, WB; Hu, Y";"Xie, Peng; Zhang, Hongmei; Xu, Wenbao; Hu, Ying";The Construction of a Smart Campus Model Based on Big Data
"Ibrahim, AEA; Elamer, AA; Ezat, AN";"Ibrahim, Awad Elsayed Awad; Elamer, Ahmed A.; Ezat, Amr Nazieh";The convergence of big data and accounting: innovative research opportunities
"Stauffer, J; Zhang, QX";"Stauffer, Jake; Zhang, Qingxue";s(2)Cloud: A Novel Cloud System for Mobile Health Big Data Management
"Xia, F; Giles, CL; Liu, H; Wang, KS";"Xia, Feng; Giles, C. Lee; Liu, Huan; Wang, Kuansan";Guest Editorial: Scholarly Big Data
"Cornelli, G; Doerr, S; Gambacorta, L; Tissot, B";"Cornelli, Giulio; Doerr, Sebastian; Gambacorta, Leonardo; Tissot, Bruno";Big Data in Asian Central Banks
"Zhou, SY; Zhang, RT; Chen, DH; Zhu, XM";"Zhou, Shengyao; Zhang, Runtong; Chen, Donghua; Zhu, Xiaomin";A novel framework for bringing smart big data to proactive decision making in healthcare
Tian, FP;Tian Fupeng;Research on Education Big Data Security Strategy under Network Environment
"Shamim, S; Yang, YM; Ul Zia, N; Shah, MH";"Shamim, Saqib; Yang, Yumei; Ul Zia, Najam; Shah, Mahmood Hussain";Big data management capabilities in the hospitality sector: Service innovation and customer generated online quality ratings
"Leung, CK; Wen, Y; Zheng, H";"Leung, Carson K.; Wen, Yan; Zheng, Hao";Conceptual Modeling and Smart Computing for Big Transportation Data
Yang, X;Yang, Xu;Business big data analysis based on microprocessor system and mathematical modeling
"Ataei, P; Litchfield, A";"Ataei, Pouya; Litchfield, Alan";NeoMycelia: A software reference architecturefor big data systems
"Rouhani, S; Rotbei, S";"Rouhani, Saeed; Rotbei, Sayna";Big data platforms: in the lens of selection and evaluation approach
"Shah, SIH; Peristeras, V; Magnisalis, I";"Shah, Syed Iftikhar Hussain; Peristeras, Vassilios; Magnisalis, Ioannis";DaLiF: a data lifecycle framework for data-driven governments
"Lavasani, MS; Ardali, NR; Sotudeh-Gharebagh, R; Zarghami, R; Abonyi, J; Mostoufi, N";"Sadat Lavasani, Mitra; Raeisi Ardali, Nahid; Sotudeh-Gharebagh, Rahmat; Zarghami, Reza; Abonyi, Janos; Mostoufi, Navid";Big data analytics opportunities for applications in process engineering
"Guo, HD; Liang, D; Chen, F; Shirazi, Z";"Guo, Huadong; Liang, Dong; Chen, Fang; Shirazi, Zeeshan";Innovative approaches to the Sustainable Development Goals using Big Earth Data
"Liu, X; Li, RY; Yue, PH";"Liu, Xu; Li, Ruoyu; Yue, Penghao";Design and Implementation of Intelligent Operation and Maintenance System for Big Data Platform
"El Falah, Z; Rafalia, N; Abouchabaka, J";"El Falah, Zineb; Rafalia, Najat; Abouchabaka, Jaafar";An Intelligent Approach for Data Analysis and Decision Making in Big Data: A Case Study on E-commerce Industry
"Fu, C; Jiang, H; Chen, X";"Fu, Chao; Jiang, Hao; Chen, Xi";Big data intelligence for smart educational management systems
"Aversa, J; Hernandez, T; Doherty, S";"Aversa, Joseph; Hernandez, Tony; Doherty, Sean";Incorporating big data within retail organizations: A case study approach
"Shen, YC; Guo, B; Shen, Y; Duan, XL; Dong, XQ; Zhang, H; Zhang, CW; Jiang, YM";"Shen, Yuncheng; Guo, Bing; Shen, Yan; Duan, Xuliang; Dong, Xiangqian; Zhang, Hong; Zhang, Chuanwu; Jiang, Yuming";Personal big data pricing method based on differential privacy
Cao, QY;Cao Qingyun;The art of packaging: An investigation on Modern Packaging Design and Artistic Thinking under the Background of Big Data
"Haider, M; Gandomi, A";"Haider, Murtaza; Gandomi, Amir";When big data made the headlines: mining the text of big data coverage in the news media
"Khan, F; Prasad, BVVS; Syed, SA; Ashraf, I; Ramasamy, LK";"Khan, Firoz; Prasad, Balusupati Veera Venkata Siva; Syed, Salman Ali; Ashraf, Imran; Ramasamy, Lakshmana Kumar";An Efficient, Ensemble-Based Classification Framework for Big Medical Data
"de Sousa, DA; Katan, M";"Aguiar de Sousa, Diana; Katan, Mira";Promising Use of Automated Electronic Phenotyping Turning Big Data Into Big Value in Stroke Research
"Santarsiero, F; Carlucci, D; Jarrar, Y";"Santarsiero, Francesco; Carlucci, Daniela; Jarrar, Yasar";Creating value from Big Data: a knowledge assets-based view
"Uzun-Per, M; Can, AB; Gurel, AV; Aktas, MS";"Uzun-Per, Meryem; Can, Ali Burak; Gurel, Ahmet Volkan; Aktas, Mehmet S.";Big Data Testing Framework for Recommendation Systems in e-Science and e-Commerce Domains
"Ardagna, CA; Bellandi, V; Bezzi, M; Ceravolo, P; Damiani, E; Hebert, C";"Ardagna, Claudio Agostino; Bellandi, Valerio; Bezzi, Michele; Ceravolo, Paolo; Damiani, Ernesto; Hebert, Cedric";Model-Based Big Data Analytics-as-a-Service: Take Big Data to the Next Level
"Goel, P; Patel, R; Garg, D; Ganatra, A";"Goel, Parth; Patel, Radhika; Garg, Dweepna; Ganatra, Amit";A Review on Big Data: Privacy and Security Challenges
"Brinch, M; Gunasekaran, A; Wamba, SF";"Brinch, Morten; Gunasekaran, Angappa; Wamba, Samuel Fosso";Firm-level capabilities towards big data value creation
"Long, CK; Agrawal, R; Trung, HQ; Pham, HV";"Cu Kim Long; Agrawal, Rashmi; Ha Quoc Trung; Hai Van Pham";A big data framework for E-Government in Industry 4.0
"Bani-Salameh, H; Al-Qawagneh, M; Taamneh, S";"Bani-Salameh, Hani; Al-Qawagneh, Mona; Taamneh, Salah";Investigating the Adoption of Big Data Management in Healthcare in Jordan
"Manogaran, G; Nguyen, TN";"Manogaran, Gunasekaran; Nguyen, Tu N.";Displacement-Aware Service Endowment Scheme for Improving Intelligent Transportation Systems Data Exchange
AlSelami, FA;AlSelami, Fudhah A.;Strategic Roles of Big Data in Supporting the National Economy & Business Sector in Light of the Vision of the Kingdom of Saudi Arabia 2030
"Wang, TL; Harvey, JD; Leung, CK; Pazdor, AGM; Chauhan, AS; Fan, LH; Cuzzocrea, A";"Wang, Tianlei; Harvey, James D.; Leung, Carson K.; Pazdor, Adam G. M.; Chauhan, Animesh Singh; Fan, Lihe; Cuzzocrea, Alfredo";Distributed Big Data Computing for Supporting Predictive Analytics of Service Requests
"Hartmann, K; Lederer, M";"Hartmann, Kim; Lederer, Matthias";The Current State of Big Data Research in Tourism: Results of a Systematic Literature Analysis
"Ghedass, F; Ben Charrada, F";"Ghedass, Fedia; Ben Charrada, Faouzi";Modeling Big Data-centric Services using Knowledge Graphs
"Clausen, JBB; Li, HY";"Clausen, Johan Bjerre Bach; Li, Hongyan";Big data driven order-up-to level model: Application of machine learning
Cong, XQ;Cong, Xiaoqi;Research on Curriculum Construction of Big Data and Accounting under the Background of Big Data
"Wook, M; Hasbullah, NA; Zainudin, NM; Jabar, ZZA; Ramli, S; Razali, NAM; Yusop, NMM";"Wook, Muslihah; Hasbullah, Nor Asiakin; Zainudin, Norulzahrah Mohd; Jabar, Zam Zarina Abdul; Ramli, Suzaimah; Razali, Noor Afiza Mat; Yusop, Nurhafizah Moziyana Mohd";Exploring big data traits and data quality dimensions for big data analytics application using partial least squares structural equation modelling
"Kibria, MG; Joreimi, SG; Paghadal, VK; Ghosh, S";"Kibria, Md Golam; Joreimi, Seyedeh Golnoush (Julie); Paghadal, Vatsal Keshavbhai; Ghosh, Suvankar";A Beyond the Dominant Paradigm Model for Examining Adoption of Big Data Analytics
"Yao, FG; Wang, YH";"Yao, Fengge; Wang, Yihuan";Financial Innovation System of Commercial Banks Based on Big Data Technology
"Aljumah, AI; Nuseir, MT; Alam, MM";"Aljumah, Ahmad Ibrahim; Nuseir, Mohammed T.; Alam, Md Mahmudul";Traditional marketing analytics, big data analytics and big data system quality and the success of new product development
"Neric, V; Sarajlic, N";"Neric, Vedrana; Sarajlic, Nermin";Big Data Optimization Using Hive
"Bahrami, F; Kanaani, F; Turkina, E; Moin, MS; Shahbazi, M";"Bahrami, Farideh; Kanaani, Fatemeh; Turkina, Ekaterina; Moin, Mohammad Shahram; Shahbazi, Meysam";Key Challenges in Big Data Startups: An Exploratory Study in Iran
"Xiao, XH; Zhu, YQ; Zhu, YX; Zhao, Q";"Xiao, Xiaohong; Zhu, Yuqi; Zhu, Yuxi; Zhao, Qing";How Does the External Integration and Internal Sharing of Big Data Influence Organizational Innovation? The Roles of Strategic Learning and Market Responsiveness
"Stoyanova, M; Vasilev, J; Cristescu, M";"Stoyanova, Miglena; Vasilev, Julian; Cristescu, Marian";Big Data in Property Management
"Wang, H; Wu, H; Wang, XL";"Wang, Hui; Wu, Hua; Wang, Xuelong";Research on the Application of Big Data in the Petroleum Industry
"Yuan, DB; Xu, BT; Gao, S";"Yuan, Dongbing; Xu, Bintai; Gao, Sheng";A Recovery Algorithm of Power Quality Big Data Based on Improved Differential Kriging
"Olawoyin, AM; Leung, CK; Cuzzocrea, A";"Olawoyin, Anifat M.; Leung, Carson K.; Cuzzocrea, Alfredo";Open Data Lake to Support Machine Learning on Arctic Big Data
"Ali, M; Scandurra, P; Moretti, F; Blaso, L; Leccisi, M; Leccese, F";"Ali, Mubashir; Scandurra, Patrizia; Moretti, Fabio; Blaso, Laura; Leccisi, Mariagrazia; Leccese, Fabio";From Big Data to Smart Data-centric Software Architectures for City Analytics: the case of the PELL Smart City Platform
"Swain, PR; Parida, PK; Behera, BK; Swain, HS; Sahu, SK; Das, BK";"Swain, Prajna Ritambhara; Parida, Pranaya Kumar; Behera, Bijay Kumar; Swain, Himanshu Sekhar; Sahu, Sanjeev Kumar; Das, Basanta Kumar";Big data application in fisheries with special reference to inland fisheries sector in India
"Pinto, VA; Parreiras, FS";"Pinto, Vitor Afonso; Parreiras, Fernando Silva";InfoMINDS: An Interdisciplinary Framework for Leveraging Data Science upon Big Data in Surface Mining Industry
"Lei, ZM; Chen, YD; Lim, MK";"Lei, Zhimei; Chen, Yandan; Lim, Ming K.";Modelling and analysis of big data platform group adoption behaviour based on social network analysis
"Dai, DB; Ma, YX; Min, Z";"Debao, Dai; Yinxia, Ma; Min, Zhao";Analysis of big data job requirements based on K-means text clustering in China
Oatley, GC;Oatley, Giles C.;Themes in data mining, big data, and crime analytics
"Doherty, JF; Chai, XH; Cope, LE; Dutra, DD; Milotic, M; Ni, S; Park, E; Filion, A";"Doherty, Jean-Francois; Chai, Xuhong; Cope, Laurie E.; Dutra, Daniela de Angeli; Milotic, Marin; Ni, Steven; Park, Eunji; Filion, Antoine";The rise of big data in disease ecology
"Yu, LL; Lu, Q; Yang, TT; Wan, JX; Wen, WJ; Hu, DY";"Yu, Linlan; Lu, Qing; Yang, Tingting; Wan, Junxiang; Wen, Weijiang; Hu, Dayan";Research on the Reform of Physical Education in Colleges and Universities under the Background of Big Data Era
"Goncalves-Pinho, M; Ribeiro, JP; Freitas, A";"Goncalves-Pinho, M.; Ribeiro, J. P.; Freitas, A.";Schizophrenia hospitalizations - a big data approach
"Yang, L; Jiang, AQ; Zhang, JH";"Yang, Lei; Jiang, Anqian; Zhang, Jiahua";Optimal timing of big data application in a two-period decision model with new product sales
"Weerasinghe, K; Scahill, SL; Pauleen, DJ; Taskin, N";"Weerasinghe, Kasuni; Scahill, Shane L.; Pauleen, David J.; Taskin, Nazim";Big data analytics for clinical decision-making: Understanding health sector perceptions of policy and practice
"Simoes, L; Ladeiro, L; Bernardino, J; Pedrosa, I";"Simoes, Liliana; Ladeiro, Luis; Bernardino, Jorge; Pedrosa, Isabel";The Usage of Big Data and Data Analytics in the Study of Climate Change
"Nie, WY; Zhang, QJ; Ouyang, ZQ; Liu, XG";"Nie, Wenyi; Zhang, Quanjiang; Ouyang, Zhiqiang; Liu, Xingang";Design of big data integration platform based on hybrid hierarchy architecture
"Rawat, DB; Doku, R; Garuba, M";"Rawat, Danda B.; Doku, Ronald; Garuba, Moses";Cybersecurity in Big Data Era: From Securing Big Data to Data-Driven Security
"Cetindamar, D; Shdifat, B; Erfani, E";"Cetindamar, Dilek; Shdifat, Baraah; Erfani, Eila";Understanding Big Data Analytics Capability and Sustainable Supply Chains
"Pallamala, RK; Rodrigues, P";"Pallamala, Rajesh Kumar; Rodrigues, Paul";An Investigative Testing of Structured and Unstructured Data Formats in Big Data Application Using Apache Spark
"Peng, JR; Xu, H; Song, J";"Peng, Junru; Xu, Heng; Song, Jun";HRSE: a novel high-speed random sampling encryption scheme on big data
"Bansal, V; Shukla, S";"Bansal, Veena; Shukla, Shubham";Exploring Big Data Analytics Adoption using Affordance Theory
Gao, HF;Gao, Haifeng;Big Data Development of Tourism Resources Based on 5G Network and Internet of Things System
"Tang, CL; Plasek, JM; Zhang, SH; Xiong, Y; Zhu, YY; Ma, J; Zhou, LI; Bates, DW";"Tang, Chunlei; Plasek, Joseph M.; Zhang, Suhua; Xiong, Yun; Zhu, Yangyong; Ma, Jing; Zhou, L., I; Bates, David W.";The intersection of big data and epidemiology for epidemiologic research: The impact of the COVID-19 pandemic
"Jie, RCW; Tan, CY; Teo, FY; Goh, BH; Mah, YS";"Jie, Ryan Cheah Wei; Tan, Cha Yao; Teo, Fang Yenn; Goh, Boon Hoe; Mah, Yau Seng";A REVIEW OF MANAGING WATER RESOURCES IN MALAYSIA WITH BIG DATA APPROACHES
"Brahmane, AV; Krishna, CB";"Brahmane, Anilkumar, V; Krishna, Chaitanya B.";Rider Chaotic Biography Optimization-driven Deep Stacked Auto-encoder for Big Data Classification Using Spark Architecture: Rider Chaotic Biography Optimization
Chen, X;Chen, Xin;Big Data Integration Method of Mathematical Modeling and Manufacturing System Based on Fog Calculation
"Manikandan, RPS; Kalpana, AM";"Manikandan, R. P. S.; Kalpana, A. M.";Big data feature selection using fish and frog optimization
"Munshi, AA; Alhindi, A";"Munshi, Amr A.; Alhindi, Ahmad";Big Data Platform for Educational Analytics
"Liu, HZ; Yang, LT; Guo, YM; Xie, X; Ma, JH";"Liu, Huazhong; Yang, Laurence T.; Guo, Yimu; Xie, Xia; Ma, Jianhua";An Incremental Tensor-Train Decomposition for Cyber-Physical-Social Big Data
"Razaghi, S; Shokouhyar, S";"Razaghi, Shokouh; Shokouhyar, Sajjad";Impacts of big data analytics management capabilities and supply chain integration on global sourcing: a surveyonfirm performance
Liu, XY;Liu, Xiao-Yuan;Agricultural products intelligent marketing technology innovation in big data era
"Chuah, MH; Thurusamry, R";"Chuah, Min Hooi; Thurusamry, Ramayah";Challenges of big data adoption in Malaysia SMEs based on Lessig's modalities: A systematic review
"Jekov, B; Petkova, M; Gotsev, L; Petkova, V";"Jekov, Boyan; Petkova, Milena; Gotsev, Lyubomir; Petkova, Vladimira";Benefits and Challenges of Big Data Analysis in Telecom Industry
Long, O;Long, Ou;The Design of the Intelligent Analysis Framework for the Informationization of the Tourism Industry in Guizhou Province Under the Concept of Big Data
"Schmucker, D; Reif, J";"Schmuecker, Dirk; Reif, Julian";The Big Data Illusion
"Faridoon, A; Imran, M";"Faridoon, Amen; Imran, Muhammad";BIG DATA STORAGE TOOLS USING NOSQL DATABASES AND THEIR APPLICATIONS IN VARIOUS DOMAINS: A SYSTEMATIC REVIEW
"Khan, IH; Javaid, M";"Khan, Ibrahim Haleem; Javaid, Mohd";Big Data Applications in Medical Field: A Literature Review
Ghasemaghaei, M;Ghasemaghaei, Maryam;Understanding the impact of big data on firm performance: The necessity of conceptually differentiating among big data characteristics
"Jiang, JL; Liao, L; Lu, X; Wang, ZW; Xiang, HY";"Jiang, Jinglin; Liao, Li; Lu, Xi; Wang, Zhengwei; Xiang, Hongyu";Deciphering big data in consumer credit evaluation
"Zhan, KY; Zhan, KL";"Zhan, Keyu; Zhan, Kelei";EXPLORATION OF RISK ORIENTED DATA AUDIT MODEL BASED ON BIG DATA OF PSYCHOLOGICAL PROBLEMS
"Zhang, RB; Zhao, WY; Wang, YX";"Zhang, Rongbo; Zhao, Weiyu; Wang, Yixin";Big data analytics for intelligent online education
"Chen, C; Zhang, Y; Shi, XY";"Chen, Chen; Zhang, Yao; Shi, Xiaoyong";Research on the Construction of Ocean Big Data Platform and Disaster Prevention and Mitigation Application Based on Internet of Things
"Chen, F; Haritashya, UK; Prakash, M; Wang, L";"Chen, Fang; Haritashya, Umesh K.; Prakash, Mahesh; Wang, Lei";Editorial: Big Earth Data for Disaster Risk Reduction
"Ha, TD; Chow-White, PA";"Ha, Tien-Dung; Chow-White, Peter A.";The cancer multiple: Producing and translating genomic big data into oncology care
"Pham, CTA; Magistretti, S; Dell'Era, C";"Pham, Cristina Tu Anh; Magistretti, Stefano; Dell'Era, Claudio";The role of design thinking in Big Data innovations
"Xie, XM; Zhang, TF; Zhu, QY; Zhang, GG";"Xie, Xiaoming; Zhang, Tengfei; Zhu, Qingyu; Zhang, Guigang";A Big Data Driven Design Method of Helicopter Health Management System
"Mathrani, S; Lai, XS";"Mathrani, Sanjay; Lai, Xusheng";Big Data Analytic Framework for Organizational Leverage
"Calic, G; Ghasemaghaei, M";"Calic, Goran; Ghasemaghaei, Maryam";Big data for social benefits: Innovation as a mediator of the relationship between big data and corporate social performance
"Lv, H; Shi, S; Gursoy, D";"Lv, Hui; Shi, Si; Gursoy, Dogan";A look back and a leap forward: a review and synthesis of big data and artificial intelligence literature in hospitality and tourism
"Zhang, YC; Xu, S; Zhang, L; Yang, MX";"Zhang, Yucheng; Xu, Shan; Zhang, Long; Yang, Mengxi";Big data and human resource management research: An integrative review and new directions for future research
"Goncalves-Pinho, M; Ribeiro, JP; Freitas, A";"Goncalves-Pinho, M.; Ribeiro, J. P.; Freitas, A.";Bipolar disorder hospitalizations - a big data approach
"Major, P; Li, GY; Hildre, HP; Zhang, HX";"Major, Pierre; Li, Guoyuan; Hildre, Hans Petter; Zhang, Houxiang";The Use of a Data-Driven Digital Twin of a Smart City: A Case Study of angstrom lesund, Norway
Prehofer, C;Prehofer, Christian;Challenges of Big Data and Vehicle Data
"Khafizov, F; Jurenoks, A; Saidova, T";"Khafizov, Firuz; Jurenoks, Aleksejs; Saidova, Tahmina";Overview of Big Data and Application in Aviation Sector
"Khan, S; Alla, RR";"Khan, Shahzia; Alla, Roopesh Reddy";Big Data and Customer Relationship Management: Impact on General Insurance Companies in UAE
"Harrop, C; Dallman, AR; Boyd, BA";"Harrop, Clare; Dallman, Aaron R.; Boyd, Brian A.";Big Data. Big Problem?
"Zhang, QY; Yang, SM";"Zhang, Qingyu; Yang, Shimiao";Evaluating the sustainability of big data centers using the analytic network process and fuzzy TOPSIS
"Liu, YN; Li, N; Zhu, X; Qi, Y";"Liu, Yanan; Li, Na; Zhu, Xiao; Qi, Yi";How wide is the application of genetic big data in biomedicine
Wang, X;Wang, Xia;Application of Big Data Technology in Economic Statistics
Tsai, HJ;Tsai, Hui-Ju;Contextualizing the phenomenon of Big Data: A Looming Crisis of Monopolies in the Global Media & Big Tech
"Zainab, A; Ghrayeb, A; Syed, D; Abu-Rub, H; Refaat, SS; Bouhali, O";"Zainab, Ameema; Ghrayeb, Ali; Syed, Dabeeruddin; Abu-Rub, Haitham; Refaat, Shady S.; Bouhali, Othmane";Big Data Management in Smart Grids: Technologies and Challenges
"Mgudlwa, S; Iyamu, T";"Mgudlwa, Sibulela; Iyamu, Tiko";A Framework for Accessing Patient Big Data: ANT View of a South African Health Facility
"Liu, CH; Peng, GC; Kong, YX; Li, SY; Chen, S";"Liu, Caihua; Peng, Guochao; Kong, Yongxin; Li, Shuyang; Chen, Si";Data Quality Affecting Big Data Analytics in Smart Factories: Research Themes, Issues and Methods
"Ferreira, KR; de Queiroz, GR";"Ferreira, Karine Reis; de Queiroz, Gilberto Ribeiro";Measuring Brazil from Space: big data and artificial intelligence technologies
"Li, YX; Zhang, HT; Bo, JY; Shen, N; Wang, ZY";"Li Yuxiang; Zhang Haitao; Bo Jingyi; Shen Nan; Wang Zhenyu";Big Data Information Security Risk Framework Design and Countermeasures Based on DDoS Analysis
Rodriguez, AA;Rodriguez, Alyssa A.;Big Data, Big Picture
"Du, XQ; He, YL; Huang, JZ";"Du, Xueqin; He, Yulin; Huang, Joshua Zhexue";Random Sample Partition-Based Clustering Ensemble Algorithm for Big Data
Chen, RT;Chen, Rentai;Location algorithm of fuzzy outliers in big data networks
"Rosado, DG; Moreno, J; Sanchez, LE; Santos-Olmo, A; Serrano, MA; Fernandez-Medina, E";"Rosado, David G.; Moreno, Julio; Sanchez, Luis E.; Santos-Olmo, Antonio; Serrano, Manuel A.; Fernandez-Medina, Eduardo";MARISMA-BiDa pattern: Integrated risk analysis for big data
"Tang, L; Li, JY; Du, HC; Li, L; Wu, J; Wang, SY";"Tang, Ling; Li, Jieyi; Du, Hongchuan; Li, Ling; Wu, Jun; Wang, Shouyang";Big Data in Forecasting Research: A Literature Review
"Shakir, A; Staegemann, D; Volk, M; Jamous, N; Turowski, K";"Shakir, Aamir; Staegemann, Daniel; Volk, Matthias; Jamous, Naoum; Turowski, Klaus";Towards a Concept for Building a Big Data Architecture with Microservices
"Ashaari, MA; Singh, KSD; Abbasi, GA; Amran, A; Liebana-Cabanillas, FJ";"Ashaari, Mohamed Azlan; Singh, Karpal Singh Dara; Abbasi, Ghazanfar Ali; Amran, Azlan; Liebana-Cabanillas, Francisco J.";Big data analytics capability for improved performance of higher education institutions in the Era of IR 4.0: A multi-analytical SEM & ANN perspective.
"Pearson, D; Detges, A";"Pearson, Daniel; Detges, Adrien";Big data applications for climate-conflict research
Liu, ZM;Liu, Zhongming;Research on the construction of big data management system in the whole process of prefabricated buildings
Xiong, GB;Xiong, Guibin;Intelligent city emergency intelligence perception model based on social media big data
"Narwane, VS; Raut, RD; Yadav, VS; Cheikhrouhou, N; Narkhede, BE; Priyadarshinee, P";"Narwane, Vaibhav S.; Raut, Rakesh D.; Yadav, Vinay Surendra; Cheikhrouhou, Naoufel; Narkhede, Balkrishna E.; Priyadarshinee, Pragati";The role of big data for Supply Chain 4.0 in manufacturing organisations of developing countries
"Lin, CC; Kunnathur, A; Forrest, J";"Lin, Canchu; Kunnathur, Anand; Forrest, Jeffrey";Supply chain dynamics, big data capability and product performance
"Zhang, QX; Piuri, V; Clancy, EA; Zhou, DA; Penzel, T; Hu, WCW; Zheng, H";"Zhang, Qingxue; Piuri, Vincenzo; Clancy, Edward A.; Zhou, Dian; Penzel, Thomas; Hu, Wenchuang Walter; Zheng, Hui";IEEE ACCESS SPECIAL SECTION EDITORIAL: SMART HEALTH SENSING AND COMPUTATIONAL INTELLIGENCE: FROM BIG DATA TO BIG IMPACTS
"Joubert, A; Murawski, M; Bick, M";"Joubert, Anke; Murawski, Matthias; Bick, Markus";Measuring the Big Data Readiness of Developing Countries - Index Development and its Application to Africa
"Hinojosa-Palafox, EA; Rodriguez-Elias, OM; Hoyo-Montano, JA; Pacheco-Ramirez, JH; Nieto-Jalil, JM";"Hinojosa-Palafox, Eduardo A.; Rodriguez-Elias, Oscar M.; Hoyo-Montano, Jose A.; Pacheco-Ramirez, Jesus H.; Nieto-Jalil, Jose M.";An Analytics Environment Architecture for Industrial Cyber-Physical Systems Big Data Solutions
"Razaghi, S; Shokouhyar, S";"Razaghi, Shokouh; Shokouhyar, Sajjad";Impacts of big data analytics management capabilities and supply chain integration on global sourcing: a survey on firm performance
"Kumar, A; Kumar, TVV";"Kumar, Akshay; Kumar, T. V. Vijay";A Multi-Objective Approach to Big Data View Materialization
Qian, L;Qian, Li;Research on complex attribute big data classification based on iterative fuzzy clustering algorithm
"Wang, X; Calvanese, D";"Wang, Xin; Calvanese, Diego";Editorial for Special Issue of Journal of Big Data Research on Big Data Meets Knowledge Graphs
"Raita, Y; Camargo, CA; Liang, LM; Hasegawa, K";"Raita, Yoshihiko; Camargo, Carlos A., Jr.; Liang, Liming; Hasegawa, Kohei";Leveraging big data in respiratory medicine - data science, causal inference, and precision medicine
"Visvizi, A; Lytras, MD; Aljohani, N";"Visvizi, Anna; Lytras, Miltiadis D.; Aljohani, Naif";Big data research for politics: human centric big data research for policy making, politics, governance and democracy
"Li, VOK; Lam, JCK; Cui, JH";"Li, Victor O. K.; Lam, Jacqueline C. K.; Cui, Jiahuan";AI for Social Good: AI and Big Data Approaches for Environmental Decision-Making
